vgs ,M0.m1:vds (V),M0.m1:gm (s),M0.m1:gds (s),M0.m1:cgg (F),M0.m1:cgs (F),M0.m1:vth (V),M0.m1:id (A)
55.00E-3,400.0E-3,9.132E-12,17.08E-15,16.83E-15,-2.141E-15,743.7E-3,353.3E-15
56.00E-3,400.0E-3,9.372E-12,17.53E-15,16.82E-15,-2.141E-15,743.7E-3,362.6E-15
57.00E-3,400.0E-3,9.619E-12,17.99E-15,16.82E-15,-2.141E-15,743.7E-3,372.1E-15
58.00E-3,400.0E-3,9.872E-12,18.47E-15,16.81E-15,-2.142E-15,743.7E-3,381.8E-15
59.00E-3,400.0E-3,10.13E-12,18.96E-15,16.81E-15,-2.142E-15,743.7E-3,391.8E-15
60.00E-3,400.0E-3,10.40E-12,19.45E-15,16.80E-15,-2.142E-15,743.7E-3,402.1E-15
61.00E-3,400.0E-3,10.67E-12,19.97E-15,16.80E-15,-2.142E-15,743.7E-3,412.6E-15
62.00E-3,400.0E-3,10.95E-12,20.49E-15,16.79E-15,-2.142E-15,743.7E-3,423.4E-15
63.00E-3,400.0E-3,11.24E-12,21.03E-15,16.79E-15,-2.143E-15,743.7E-3,434.5E-15
64.00E-3,400.0E-3,11.54E-12,21.59E-15,16.78E-15,-2.143E-15,743.7E-3,445.9E-15
65.00E-3,400.0E-3,11.84E-12,22.16E-15,16.78E-15,-2.143E-15,743.7E-3,457.6E-15
66.00E-3,400.0E-3,12.15E-12,22.74E-15,16.77E-15,-2.143E-15,743.7E-3,469.6E-15
67.00E-3,400.0E-3,12.47E-12,23.34E-15,16.77E-15,-2.143E-15,743.7E-3,481.9E-15
68.00E-3,400.0E-3,12.80E-12,23.96E-15,16.76E-15,-2.144E-15,743.7E-3,494.6E-15
69.00E-3,400.0E-3,13.14E-12,24.59E-15,16.76E-15,-2.144E-15,743.7E-3,507.5E-15
70.00E-3,400.0E-3,13.48E-12,25.24E-15,16.75E-15,-2.144E-15,743.7E-3,520.8E-15
71.00E-3,400.0E-3,13.84E-12,25.90E-15,16.75E-15,-2.144E-15,743.7E-3,534.5E-15
72.00E-3,400.0E-3,14.20E-12,26.58E-15,16.74E-15,-2.144E-15,743.7E-3,548.5E-15
73.00E-3,400.0E-3,14.58E-12,27.28E-15,16.74E-15,-2.145E-15,743.7E-3,562.9E-15
74.00E-3,400.0E-3,14.96E-12,28.00E-15,16.73E-15,-2.145E-15,743.7E-3,577.7E-15
75.00E-3,400.0E-3,15.36E-12,28.74E-15,16.73E-15,-2.145E-15,743.7E-3,592.8E-15
76.00E-3,400.0E-3,15.76E-12,29.50E-15,16.72E-15,-2.145E-15,743.7E-3,608.4E-15
77.00E-3,400.0E-3,16.17E-12,30.28E-15,16.72E-15,-2.145E-15,743.7E-3,624.4E-15
78.00E-3,400.0E-3,16.60E-12,31.07E-15,16.72E-15,-2.145E-15,743.7E-3,640.8E-15
79.00E-3,400.0E-3,17.04E-12,31.89E-15,16.71E-15,-2.146E-15,743.7E-3,657.6E-15
80.00E-3,400.0E-3,17.48E-12,32.73E-15,16.71E-15,-2.146E-15,743.7E-3,674.8E-15
81.00E-3,400.0E-3,17.94E-12,33.59E-15,16.70E-15,-2.146E-15,743.7E-3,692.5E-15
82.00E-3,400.0E-3,18.42E-12,34.48E-15,16.70E-15,-2.146E-15,743.7E-3,710.7E-15
83.00E-3,400.0E-3,18.90E-12,35.39E-15,16.69E-15,-2.146E-15,743.7E-3,729.4E-15
84.00E-3,400.0E-3,19.40E-12,36.32E-15,16.69E-15,-2.146E-15,743.7E-3,748.5E-15
85.00E-3,400.0E-3,19.91E-12,37.28E-15,16.68E-15,-2.147E-15,743.7E-3,768.2E-15
86.00E-3,400.0E-3,20.43E-12,38.26E-15,16.68E-15,-2.147E-15,743.7E-3,788.4E-15
87.00E-3,400.0E-3,20.97E-12,39.27E-15,16.67E-15,-2.147E-15,743.7E-3,809.1E-15
88.00E-3,400.0E-3,21.52E-12,40.30E-15,16.67E-15,-2.147E-15,743.7E-3,830.3E-15
89.00E-3,400.0E-3,22.09E-12,41.36E-15,16.66E-15,-2.147E-15,743.7E-3,852.1E-15
90.00E-3,400.0E-3,22.67E-12,42.45E-15,16.66E-15,-2.147E-15,743.7E-3,874.5E-15
91.00E-3,400.0E-3,23.27E-12,43.57E-15,16.65E-15,-2.147E-15,743.7E-3,897.4E-15
92.00E-3,400.0E-3,23.88E-12,44.72E-15,16.65E-15,-2.148E-15,743.7E-3,921.0E-15
93.00E-3,400.0E-3,24.51E-12,45.89E-15,16.64E-15,-2.148E-15,743.7E-3,945.2E-15
94.00E-3,400.0E-3,25.15E-12,47.10E-15,16.64E-15,-2.148E-15,743.7E-3,970.0E-15
95.00E-3,400.0E-3,25.81E-12,48.34E-15,16.63E-15,-2.148E-15,743.7E-3,995.5E-15
96.00E-3,400.0E-3,26.49E-12,49.62E-15,16.63E-15,-2.148E-15,743.7E-3,1.022E-12
97.00E-3,400.0E-3,27.19E-12,50.92E-15,16.62E-15,-2.148E-15,743.7E-3,1.048E-12
98.00E-3,400.0E-3,27.90E-12,52.26E-15,16.62E-15,-2.148E-15,743.7E-3,1.076E-12
99.00E-3,400.0E-3,28.64E-12,53.64E-15,16.62E-15,-2.149E-15,743.7E-3,1.104E-12
100.0E-3,400.0E-3,29.39E-12,55.05E-15,16.61E-15,-2.149E-15,743.7E-3,1.133E-12
101.0E-3,400.0E-3,30.16E-12,56.50E-15,16.61E-15,-2.149E-15,743.7E-3,1.163E-12
102.0E-3,400.0E-3,30.95E-12,57.99E-15,16.60E-15,-2.149E-15,743.7E-3,1.194E-12
103.0E-3,400.0E-3,31.77E-12,59.52E-15,16.60E-15,-2.149E-15,743.7E-3,1.225E-12
104.0E-3,400.0E-3,32.60E-12,61.08E-15,16.59E-15,-2.149E-15,743.7E-3,1.257E-12
105.0E-3,400.0E-3,33.46E-12,62.69E-15,16.59E-15,-2.149E-15,743.7E-3,1.290E-12
106.0E-3,400.0E-3,34.34E-12,64.34E-15,16.58E-15,-2.149E-15,743.7E-3,1.324E-12
107.0E-3,400.0E-3,35.24E-12,66.03E-15,16.58E-15,-2.150E-15,743.7E-3,1.359E-12
108.0E-3,400.0E-3,36.17E-12,67.77E-15,16.57E-15,-2.150E-15,743.7E-3,1.395E-12
109.0E-3,400.0E-3,37.12E-12,69.56E-15,16.57E-15,-2.150E-15,743.7E-3,1.431E-12
110.0E-3,400.0E-3,38.09E-12,71.39E-15,16.56E-15,-2.150E-15,743.7E-3,1.469E-12
111.0E-3,400.0E-3,39.10E-12,73.27E-15,16.56E-15,-2.150E-15,743.7E-3,1.507E-12
112.0E-3,400.0E-3,40.12E-12,75.19E-15,16.55E-15,-2.150E-15,743.7E-3,1.547E-12
113.0E-3,400.0E-3,41.18E-12,77.17E-15,16.55E-15,-2.150E-15,743.7E-3,1.588E-12
114.0E-3,400.0E-3,42.26E-12,79.20E-15,16.55E-15,-2.150E-15,743.7E-3,1.629E-12
115.0E-3,400.0E-3,43.37E-12,81.29E-15,16.54E-15,-2.151E-15,743.7E-3,1.672E-12
116.0E-3,400.0E-3,44.51E-12,83.43E-15,16.54E-15,-2.151E-15,743.7E-3,1.716E-12
117.0E-3,400.0E-3,45.68E-12,85.62E-15,16.53E-15,-2.151E-15,743.7E-3,1.761E-12
118.0E-3,400.0E-3,46.88E-12,87.87E-15,16.53E-15,-2.151E-15,743.7E-3,1.808E-12
119.0E-3,400.0E-3,48.11E-12,90.19E-15,16.52E-15,-2.151E-15,743.7E-3,1.855E-12
120.0E-3,400.0E-3,49.38E-12,92.56E-15,16.52E-15,-2.151E-15,743.7E-3,1.904E-12
121.0E-3,400.0E-3,50.67E-12,94.99E-15,16.51E-15,-2.151E-15,743.7E-3,1.954E-12
122.0E-3,400.0E-3,52.00E-12,97.49E-15,16.51E-15,-2.151E-15,743.7E-3,2.005E-12
123.0E-3,400.0E-3,53.37E-12,100.1E-15,16.50E-15,-2.151E-15,743.7E-3,2.058E-12
124.0E-3,400.0E-3,54.77E-12,102.7E-15,16.50E-15,-2.151E-15,743.7E-3,2.112E-12
125.0E-3,400.0E-3,56.21E-12,105.4E-15,16.50E-15,-2.152E-15,743.7E-3,2.167E-12
126.0E-3,400.0E-3,57.69E-12,108.2E-15,16.49E-15,-2.152E-15,743.7E-3,2.224E-12
127.0E-3,400.0E-3,59.20E-12,111.0E-15,16.49E-15,-2.152E-15,743.7E-3,2.283E-12
128.0E-3,400.0E-3,60.76E-12,113.9E-15,16.48E-15,-2.152E-15,743.7E-3,2.343E-12
129.0E-3,400.0E-3,62.35E-12,116.9E-15,16.48E-15,-2.152E-15,743.7E-3,2.404E-12
130.0E-3,400.0E-3,63.99E-12,120.0E-15,16.47E-15,-2.152E-15,743.7E-3,2.467E-12
131.0E-3,400.0E-3,65.67E-12,123.2E-15,16.47E-15,-2.152E-15,743.7E-3,2.532E-12
132.0E-3,400.0E-3,67.40E-12,126.4E-15,16.46E-15,-2.152E-15,743.7E-3,2.599E-12
133.0E-3,400.0E-3,69.17E-12,129.7E-15,16.46E-15,-2.152E-15,743.7E-3,2.667E-12
134.0E-3,400.0E-3,70.98E-12,133.1E-15,16.46E-15,-2.152E-15,743.7E-3,2.737E-12
135.0E-3,400.0E-3,72.85E-12,136.6E-15,16.45E-15,-2.153E-15,743.7E-3,2.809E-12
136.0E-3,400.0E-3,74.76E-12,140.2E-15,16.45E-15,-2.153E-15,743.7E-3,2.883E-12
137.0E-3,400.0E-3,76.72E-12,143.9E-15,16.44E-15,-2.153E-15,743.7E-3,2.959E-12
138.0E-3,400.0E-3,78.74E-12,147.7E-15,16.44E-15,-2.153E-15,743.7E-3,3.036E-12
139.0E-3,400.0E-3,80.80E-12,151.6E-15,16.43E-15,-2.153E-15,743.7E-3,3.116E-12
140.0E-3,400.0E-3,82.92E-12,155.6E-15,16.43E-15,-2.153E-15,743.7E-3,3.198E-12
141.0E-3,400.0E-3,85.10E-12,159.7E-15,16.42E-15,-2.153E-15,743.7E-3,3.282E-12
142.0E-3,400.0E-3,87.33E-12,163.8E-15,16.42E-15,-2.153E-15,743.7E-3,3.368E-12
143.0E-3,400.0E-3,89.63E-12,168.2E-15,16.42E-15,-2.153E-15,743.7E-3,3.457E-12
144.0E-3,400.0E-3,91.98E-12,172.6E-15,16.41E-15,-2.153E-15,743.7E-3,3.547E-12
145.0E-3,400.0E-3,94.39E-12,177.1E-15,16.41E-15,-2.153E-15,743.7E-3,3.641E-12
146.0E-3,400.0E-3,96.87E-12,181.8E-15,16.40E-15,-2.154E-15,743.7E-3,3.736E-12
147.0E-3,400.0E-3,99.41E-12,186.5E-15,16.40E-15,-2.154E-15,743.7E-3,3.834E-12
148.0E-3,400.0E-3,102.0E-12,191.4E-15,16.39E-15,-2.154E-15,743.7E-3,3.935E-12
149.0E-3,400.0E-3,104.7E-12,196.5E-15,16.39E-15,-2.154E-15,743.7E-3,4.038E-12
150.0E-3,400.0E-3,107.4E-12,201.6E-15,16.39E-15,-2.154E-15,743.7E-3,4.145E-12
151.0E-3,400.0E-3,110.3E-12,206.9E-15,16.38E-15,-2.154E-15,743.7E-3,4.253E-12
152.0E-3,400.0E-3,113.2E-12,212.4E-15,16.38E-15,-2.154E-15,743.7E-3,4.365E-12
153.0E-3,400.0E-3,116.1E-12,218.0E-15,16.37E-15,-2.154E-15,743.7E-3,4.480E-12
154.0E-3,400.0E-3,119.2E-12,223.7E-15,16.37E-15,-2.154E-15,743.7E-3,4.597E-12
155.0E-3,400.0E-3,122.3E-12,229.6E-15,16.36E-15,-2.154E-15,743.7E-3,4.718E-12
156.0E-3,400.0E-3,125.5E-12,235.6E-15,16.36E-15,-2.154E-15,743.7E-3,4.842E-12
157.0E-3,400.0E-3,128.8E-12,241.8E-15,16.36E-15,-2.154E-15,743.7E-3,4.969E-12
158.0E-3,400.0E-3,132.2E-12,248.1E-15,16.35E-15,-2.155E-15,743.7E-3,5.100E-12
159.0E-3,400.0E-3,135.6E-12,254.7E-15,16.35E-15,-2.155E-15,743.7E-3,5.234E-12
160.0E-3,400.0E-3,139.2E-12,261.3E-15,16.34E-15,-2.155E-15,743.7E-3,5.371E-12
161.0E-3,400.0E-3,142.9E-12,268.2E-15,16.34E-15,-2.155E-15,743.7E-3,5.512E-12
162.0E-3,400.0E-3,146.6E-12,275.3E-15,16.33E-15,-2.155E-15,743.7E-3,5.657E-12
163.0E-3,400.0E-3,150.4E-12,282.5E-15,16.33E-15,-2.155E-15,743.7E-3,5.805E-12
164.0E-3,400.0E-3,154.4E-12,289.9E-15,16.33E-15,-2.155E-15,743.7E-3,5.958E-12
165.0E-3,400.0E-3,158.4E-12,297.5E-15,16.32E-15,-2.155E-15,743.7E-3,6.114E-12
166.0E-3,400.0E-3,162.6E-12,305.3E-15,16.32E-15,-2.155E-15,743.7E-3,6.275E-12
167.0E-3,400.0E-3,166.9E-12,313.4E-15,16.31E-15,-2.155E-15,743.7E-3,6.439E-12
168.0E-3,400.0E-3,171.2E-12,321.6E-15,16.31E-15,-2.155E-15,743.7E-3,6.608E-12
169.0E-3,400.0E-3,175.7E-12,330.0E-15,16.30E-15,-2.155E-15,743.7E-3,6.782E-12
170.0E-3,400.0E-3,180.3E-12,338.7E-15,16.30E-15,-2.155E-15,743.7E-3,6.960E-12
171.0E-3,400.0E-3,185.1E-12,347.6E-15,16.30E-15,-2.156E-15,743.7E-3,7.142E-12
172.0E-3,400.0E-3,189.9E-12,356.7E-15,16.29E-15,-2.156E-15,743.7E-3,7.330E-12
173.0E-3,400.0E-3,194.9E-12,366.1E-15,16.29E-15,-2.156E-15,743.7E-3,7.522E-12
174.0E-3,400.0E-3,200.0E-12,375.7E-15,16.28E-15,-2.156E-15,743.7E-3,7.720E-12
175.0E-3,400.0E-3,205.2E-12,385.6E-15,16.28E-15,-2.156E-15,743.7E-3,7.922E-12
176.0E-3,400.0E-3,210.6E-12,395.7E-15,16.28E-15,-2.156E-15,743.7E-3,8.130E-12
177.0E-3,400.0E-3,216.1E-12,406.1E-15,16.27E-15,-2.156E-15,743.7E-3,8.344E-12
178.0E-3,400.0E-3,221.8E-12,416.7E-15,16.27E-15,-2.156E-15,743.7E-3,8.563E-12
179.0E-3,400.0E-3,227.6E-12,427.7E-15,16.26E-15,-2.156E-15,743.7E-3,8.787E-12
180.0E-3,400.0E-3,233.6E-12,438.9E-15,16.26E-15,-2.156E-15,743.7E-3,9.018E-12
181.0E-3,400.0E-3,239.7E-12,450.4E-15,16.25E-15,-2.156E-15,743.7E-3,9.255E-12
182.0E-3,400.0E-3,246.0E-12,462.2E-15,16.25E-15,-2.156E-15,743.7E-3,9.497E-12
183.0E-3,400.0E-3,252.4E-12,474.4E-15,16.25E-15,-2.157E-15,743.7E-3,9.747E-12
184.0E-3,400.0E-3,259.0E-12,486.8E-15,16.24E-15,-2.157E-15,743.7E-3,10.00E-12
185.0E-3,400.0E-3,265.8E-12,499.6E-15,16.24E-15,-2.157E-15,743.7E-3,10.26E-12
186.0E-3,400.0E-3,272.8E-12,512.7E-15,16.23E-15,-2.157E-15,743.7E-3,10.53E-12
187.0E-3,400.0E-3,279.9E-12,526.1E-15,16.23E-15,-2.157E-15,743.7E-3,10.81E-12
188.0E-3,400.0E-3,287.3E-12,539.9E-15,16.23E-15,-2.157E-15,743.7E-3,11.09E-12
189.0E-3,400.0E-3,294.8E-12,554.1E-15,16.22E-15,-2.157E-15,743.7E-3,11.38E-12
190.0E-3,400.0E-3,302.5E-12,568.7E-15,16.22E-15,-2.157E-15,743.7E-3,11.68E-12
191.0E-3,400.0E-3,310.4E-12,583.6E-15,16.21E-15,-2.157E-15,743.7E-3,11.99E-12
192.0E-3,400.0E-3,318.6E-12,598.9E-15,16.21E-15,-2.157E-15,743.7E-3,12.30E-12
193.0E-3,400.0E-3,326.9E-12,614.6E-15,16.21E-15,-2.157E-15,743.7E-3,12.63E-12
194.0E-3,400.0E-3,335.5E-12,630.7E-15,16.20E-15,-2.158E-15,743.7E-3,12.96E-12
195.0E-3,400.0E-3,344.3E-12,647.3E-15,16.20E-15,-2.158E-15,743.7E-3,13.30E-12
196.0E-3,400.0E-3,353.3E-12,664.2E-15,16.19E-15,-2.158E-15,743.7E-3,13.65E-12
197.0E-3,400.0E-3,362.5E-12,681.7E-15,16.19E-15,-2.158E-15,743.7E-3,14.00E-12
198.0E-3,400.0E-3,372.0E-12,699.5E-15,16.19E-15,-2.158E-15,743.7E-3,14.37E-12
199.0E-3,400.0E-3,381.7E-12,717.9E-15,16.18E-15,-2.158E-15,743.7E-3,14.75E-12
200.0E-3,400.0E-3,391.7E-12,736.7E-15,16.18E-15,-2.158E-15,743.7E-3,15.14E-12
201.0E-3,400.0E-3,402.0E-12,756.0E-15,16.17E-15,-2.158E-15,743.7E-3,15.53E-12
202.0E-3,400.0E-3,412.5E-12,775.8E-15,16.17E-15,-2.158E-15,743.7E-3,15.94E-12
203.0E-3,400.0E-3,423.3E-12,796.2E-15,16.17E-15,-2.158E-15,743.7E-3,16.36E-12
204.0E-3,400.0E-3,434.4E-12,817.1E-15,16.16E-15,-2.159E-15,743.7E-3,16.79E-12
205.0E-3,400.0E-3,445.8E-12,838.5E-15,16.16E-15,-2.159E-15,743.7E-3,17.23E-12
206.0E-3,400.0E-3,457.4E-12,860.5E-15,16.15E-15,-2.159E-15,743.7E-3,17.68E-12
207.0E-3,400.0E-3,469.4E-12,883.0E-15,16.15E-15,-2.159E-15,743.7E-3,18.14E-12
